assay,chrom,w_mono,w_triso,mu_A,mu_R,mu_T,target_div,pop_id
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49151
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49152
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49153
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49154
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49155
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49156
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49157
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49158
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49159
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49160
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49161
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49162
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49163
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49164
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49165
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49166
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49167
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49168
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49169
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49170
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49171
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49172
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49173
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49174
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49175
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49176
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49177
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49178
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49179
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49180
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49181
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49182
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49183
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49184
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49185
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49186
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49187
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49188
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49189
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49190
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49191
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49192
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49193
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49194
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49195
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49196
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49197
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49198
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49199
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49200
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49201
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49202
