assay,n_rep,monosome_fitness,monosome_rate,revert_rate,n_gen
a1113,36,0.007071067776566521,2.1544346900318822e-07,9.999999999999999e-06,25
a1114,36,0.007071067776566521,2.1544346900318822e-07,4.641588833612772e-05,25
a1115,36,0.007071067776566521,2.1544346900318822e-07,0.00021544346900318823,25
a1116,36,0.007071067776566521,2.1544346900318822e-07,0.001,25
a1117,36,0.007071067776566521,2.1544346900318822e-07,0.004641588833612773,25
a1118,36,0.007071067776566521,2.1544346900318822e-07,0.021544346900318822,25
a1119,36,0.007071067776566521,2.1544346900318822e-07,0.1,25
a1120,36,0.007071067776566521,4.641588833612782e-07,1e-07,25
a1121,36,0.007071067776566521,4.641588833612782e-07,4.641588833612782e-07,25
a1122,36,0.007071067776566521,4.641588833612782e-07,2.1544346900318822e-06,25
a1123,36,0.007071067776566521,4.641588833612782e-07,9.999999999999999e-06,25
a1124,36,0.007071067776566521,4.641588833612782e-07,4.641588833612772e-05,25
a1125,36,0.007071067776566521,4.641588833612782e-07,0.00021544346900318823,25
a1126,36,0.007071067776566521,4.641588833612782e-07,0.001,25
a1127,36,0.007071067776566521,4.641588833612782e-07,0.004641588833612773,25
a1128,36,0.007071067776566521,4.641588833612782e-07,0.021544346900318822,25
a1129,36,0.007071067776566521,4.641588833612782e-07,0.1,25
a1130,36,0.007071067776566521,1e-06,1e-07,25
a1131,36,0.007071067776566521,1e-06,4.641588833612782e-07,25
a1132,36,0.007071067776566521,1e-06,2.1544346900318822e-06,25
a1133,36,0.007071067776566521,1e-06,9.999999999999999e-06,25
a1134,36,0.007071067776566521,1e-06,4.641588833612772e-05,25
a1135,36,0.007071067776566521,1e-06,0.00021544346900318823,25
a1136,36,0.007071067776566521,1e-06,0.001,25
a1137,36,0.007071067776566521,1e-06,0.004641588833612773,25
a1138,36,0.007071067776566521,1e-06,0.021544346900318822,25
a1139,36,0.007071067776566521,1e-06,0.1,25
a1140,36,0.007071067776566521,2.1544346900318822e-06,1e-07,24
a1141,36,0.007071067776566521,2.1544346900318822e-06,4.641588833612782e-07,24
a1142,36,0.007071067776566521,2.1544346900318822e-06,2.1544346900318822e-06,24
a1143,36,0.007071067776566521,2.1544346900318822e-06,9.999999999999999e-06,24
a1144,36,0.007071067776566521,2.1544346900318822e-06,4.641588833612772e-05,24
a1145,36,0.007071067776566521,2.1544346900318822e-06,0.00021544346900318823,24
a1146,36,0.007071067776566521,2.1544346900318822e-06,0.001,24
a1147,36,0.007071067776566521,2.1544346900318822e-06,0.004641588833612773,24
a1148,36,0.007071067776566521,2.1544346900318822e-06,0.021544346900318822,24
a1149,36,0.007071067776566521,2.1544346900318822e-06,0.1,24
a1150,36,0.007071067776566521,4.641588833612773e-06,1e-07,23
a1151,36,0.007071067776566521,4.641588833612773e-06,4.641588833612782e-07,23
a1152,36,0.007071067776566521,4.641588833612773e-06,2.1544346900318822e-06,23
a1153,36,0.007071067776566521,4.641588833612773e-06,9.999999999999999e-06,23
