assay,rep,monosome_fitness,monosome_rate,revert_rate,n_gen,pop_id
a1006,34,0.001,1e-07,0.001,25,p36250
a1006,35,0.001,1e-07,0.001,25,p36251
a1007,0,0.001,1e-07,0.004641588833612773,25,p36252
a1007,1,0.001,1e-07,0.004641588833612773,25,p36253
a1007,2,0.001,1e-07,0.004641588833612773,25,p36254
a1007,3,0.001,1e-07,0.004641588833612773,25,p36255
a1007,4,0.001,1e-07,0.004641588833612773,25,p36256
a1007,5,0.001,1e-07,0.004641588833612773,25,p36257
a1007,6,0.001,1e-07,0.004641588833612773,25,p36258
a1007,7,0.001,1e-07,0.004641588833612773,25,p36259
a1007,8,0.001,1e-07,0.004641588833612773,25,p36260
a1007,9,0.001,1e-07,0.004641588833612773,25,p36261
a1007,10,0.001,1e-07,0.004641588833612773,25,p36262
a1007,11,0.001,1e-07,0.004641588833612773,25,p36263
a1007,12,0.001,1e-07,0.004641588833612773,25,p36264
a1007,13,0.001,1e-07,0.004641588833612773,25,p36265
a1007,14,0.001,1e-07,0.004641588833612773,25,p36266
a1007,15,0.001,1e-07,0.004641588833612773,25,p36267
a1007,16,0.001,1e-07,0.004641588833612773,25,p36268
a1007,17,0.001,1e-07,0.004641588833612773,25,p36269
a1007,18,0.001,1e-07,0.004641588833612773,25,p36270
a1007,19,0.001,1e-07,0.004641588833612773,25,p36271
a1007,20,0.001,1e-07,0.004641588833612773,25,p36272
a1007,21,0.001,1e-07,0.004641588833612773,25,p36273
a1007,22,0.001,1e-07,0.004641588833612773,25,p36274
a1007,23,0.001,1e-07,0.004641588833612773,25,p36275
a1007,24,0.001,1e-07,0.004641588833612773,25,p36276
a1007,25,0.001,1e-07,0.004641588833612773,25,p36277
a1007,26,0.001,1e-07,0.004641588833612773,25,p36278
a1007,27,0.001,1e-07,0.004641588833612773,25,p36279
a1007,28,0.001,1e-07,0.004641588833612773,25,p36280
a1007,29,0.001,1e-07,0.004641588833612773,25,p36281
a1007,30,0.001,1e-07,0.004641588833612773,25,p36282
a1007,31,0.001,1e-07,0.004641588833612773,25,p36283
a1007,32,0.001,1e-07,0.004641588833612773,25,p36284
a1007,33,0.001,1e-07,0.004641588833612773,25,p36285
a1007,34,0.001,1e-07,0.004641588833612773,25,p36286
a1007,35,0.001,1e-07,0.004641588833612773,25,p36287
a1008,0,0.001,1e-07,0.021544346900318822,25,p36288
a1008,1,0.001,1e-07,0.021544346900318822,25,p36289
a1008,2,0.001,1e-07,0.021544346900318822,25,p36290
a1008,3,0.001,1e-07,0.021544346900318822,25,p36291
a1008,4,0.001,1e-07,0.021544346900318822,25,p36292
a1008,5,0.001,1e-07,0.021544346900318822,25,p36293
a1008,6,0.001,1e-07,0.021544346900318822,25,p36294
a1008,7,0.001,1e-07,0.021544346900318822,25,p36295
a1008,8,0.001,1e-07,0.021544346900318822,25,p36296
a1008,9,0.001,1e-07,0.021544346900318822,25,p36297
a1008,10,0.001,1e-07,0.021544346900318822,25,p36298
a1008,11,0.001,1e-07,0.021544346900318822,25,p36299
a1008,12,0.001,1e-07,0.021544346900318822,25,p36300
a1008,13,0.001,1e-07,0.021544346900318822,25,p36301
a1008,14,0.001,1e-07,0.021544346900318822,25,p36302
a1008,15,0.001,1e-07,0.021544346900318822,25,p36303
a1008,16,0.001,1e-07,0.021544346900318822,25,p36304
a1008,17,0.001,1e-07,0.021544346900318822,25,p36305
a1008,18,0.001,1e-07,0.021544346900318822,25,p36306
a1008,19,0.001,1e-07,0.021544346900318822,25,p36307
a1008,20,0.001,1e-07,0.021544346900318822,25,p36308
a1008,21,0.001,1e-07,0.021544346900318822,25,p36309
a1008,22,0.001,1e-07,0.021544346900318822,25,p36310
a1008,23,0.001,1e-07,0.021544346900318822,25,p36311
a1008,24,0.001,1e-07,0.021544346900318822,25,p36312
a1008,25,0.001,1e-07,0.021544346900318822,25,p36313
a1008,26,0.001,1e-07,0.021544346900318822,25,p36314
a1008,27,0.001,1e-07,0.021544346900318822,25,p36315
a1008,28,0.001,1e-07,0.021544346900318822,25,p36316
a1008,29,0.001,1e-07,0.021544346900318822,25,p36317
a1008,30,0.001,1e-07,0.021544346900318822,25,p36318
a1008,31,0.001,1e-07,0.021544346900318822,25,p36319
a1008,32,0.001,1e-07,0.021544346900318822,25,p36320
a1008,33,0.001,1e-07,0.021544346900318822,25,p36321
a1008,34,0.001,1e-07,0.021544346900318822,25,p36322
a1008,35,0.001,1e-07,0.021544346900318822,25,p36323
a1009,0,0.001,1e-07,0.1,25,p36324
a1009,1,0.001,1e-07,0.1,25,p36325
a1009,2,0.001,1e-07,0.1,25,p36326
a1009,3,0.001,1e-07,0.1,25,p36327
a1009,4,0.001,1e-07,0.1,25,p36328
a1009,5,0.001,1e-07,0.1,25,p36329
a1009,6,0.001,1e-07,0.1,25,p36330
a1009,7,0.001,1e-07,0.1,25,p36331
a1009,8,0.001,1e-07,0.1,25,p36332
a1009,9,0.001,1e-07,0.1,25,p36333
a1009,10,0.001,1e-07,0.1,25,p36334
a1009,11,0.001,1e-07,0.1,25,p36335
a1009,12,0.001,1e-07,0.1,25,p36336
a1009,13,0.001,1e-07,0.1,25,p36337
a1009,14,0.001,1e-07,0.1,25,p36338
a1009,15,0.001,1e-07,0.1,25,p36339
a1009,16,0.001,1e-07,0.1,25,p36340
a1009,17,0.001,1e-07,0.1,25,p36341
a1009,18,0.001,1e-07,0.1,25,p36342
a1009,19,0.001,1e-07,0.1,25,p36343
a1009,20,0.001,1e-07,0.1,25,p36344
a1009,21,0.001,1e-07,0.1,25,p36345
a1009,22,0.001,1e-07,0.1,25,p36346
a1009,23,0.001,1e-07,0.1,25,p36347
a1009,24,0.001,1e-07,0.1,25,p36348
a1009,25,0.001,1e-07,0.1,25,p36349
a1009,26,0.001,1e-07,0.1,25,p36350
a1009,27,0.001,1e-07,0.1,25,p36351
a1009,28,0.001,1e-07,0.1,25,p36352
a1009,29,0.001,1e-07,0.1,25,p36353
a1009,30,0.001,1e-07,0.1,25,p36354
a1009,31,0.001,1e-07,0.1,25,p36355
a1009,32,0.001,1e-07,0.1,25,p36356
a1009,33,0.001,1e-07,0.1,25,p36357
a1009,34,0.001,1e-07,0.1,25,p36358
a1009,35,0.001,1e-07,0.1,25,p36359
a1010,0,0.001,2.1544346900318822e-07,1e-07,25,p36360
a1010,1,0.001,2.1544346900318822e-07,1e-07,25,p36361
a1010,2,0.001,2.1544346900318822e-07,1e-07,25,p36362
a1010,3,0.001,2.1544346900318822e-07,1e-07,25,p36363
a1010,4,0.001,2.1544346900318822e-07,1e-07,25,p36364
a1010,5,0.001,2.1544346900318822e-07,1e-07,25,p36365
a1010,6,0.001,2.1544346900318822e-07,1e-07,25,p36366
a1010,7,0.001,2.1544346900318822e-07,1e-07,25,p36367
a1010,8,0.001,2.1544346900318822e-07,1e-07,25,p36368
a1010,9,0.001,2.1544346900318822e-07,1e-07,25,p36369
a1010,10,0.001,2.1544346900318822e-07,1e-07,25,p36370
a1010,11,0.001,2.1544346900318822e-07,1e-07,25,p36371
a1010,12,0.001,2.1544346900318822e-07,1e-07,25,p36372
a1010,13,0.001,2.1544346900318822e-07,1e-07,25,p36373
a1010,14,0.001,2.1544346900318822e-07,1e-07,25,p36374
a1010,15,0.001,2.1544346900318822e-07,1e-07,25,p36375
a1010,16,0.001,2.1544346900318822e-07,1e-07,25,p36376
a1010,17,0.001,2.1544346900318822e-07,1e-07,25,p36377
a1010,18,0.001,2.1544346900318822e-07,1e-07,25,p36378
a1010,19,0.001,2.1544346900318822e-07,1e-07,25,p36379
